[ 2026-01-14 00:41:59,188 ] 31 TripPlanner - INFO - Received query request: question='Plan a 3-day trip to Paris'
[ 2026-01-14 00:42:00,034 ] 14 TripPlanner - INFO - WeatherInfoTool initialized
[ 2026-01-14 00:42:00,105 ] 194 googlemaps.client - INFO - API queries_quota: 60
[ 2026-01-14 00:42:00,111 ] 15 TripPlanner - INFO - PlaceSearchTool initialized
[ 2026-01-14 00:42:00,116 ] 10 TripPlanner - INFO - CalculatorTool initialized
[ 2026-01-14 00:42:00,118 ] 14 TripPlanner - INFO - CurrencyConverterTool initialized
[ 2026-01-14 00:42:00,418 ] 39 TripPlanner - INFO - Graph saved as 'my_graph.png' in D:\COURSE_PROJECT\AI_Trip_Planner
[ 2026-01-14 00:42:02,634 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:42:55,793 ] 31 TripPlanner - INFO - Received query request: question='PLan 5 days Trip to Goa'
[ 2026-01-14 00:42:55,855 ] 14 TripPlanner - INFO - WeatherInfoTool initialized
[ 2026-01-14 00:42:55,857 ] 194 googlemaps.client - INFO - API queries_quota: 60
[ 2026-01-14 00:42:55,868 ] 15 TripPlanner - INFO - PlaceSearchTool initialized
[ 2026-01-14 00:42:55,874 ] 10 TripPlanner - INFO - CalculatorTool initialized
[ 2026-01-14 00:42:55,878 ] 14 TripPlanner - INFO - CurrencyConverterTool initialized
[ 2026-01-14 00:42:56,252 ] 39 TripPlanner - INFO - Graph saved as 'my_graph.png' in D:\COURSE_PROJECT\AI_Trip_Planner
[ 2026-01-14 00:42:59,289 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:42:59,330 ] 21 TripPlanner - INFO - Fetching current weather for Goa
[ 2026-01-14 00:42:59,331 ] 34 TripPlanner - INFO - Fetching weather forecast for Goa
[ 2026-01-14 00:42:59,553 ] 44 TripPlanner - INFO - Forecast fetched for Goa
[ 2026-01-14 00:42:59,754 ] 26 TripPlanner - INFO - Weather fetched for Goa: 298.36°C, few clouds
[ 2026-01-14 00:43:02,080 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:44:21,718 ] 31 TripPlanner - INFO - Received query request: question='PLan 5 days Trip to Goa\n\n'
[ 2026-01-14 00:44:21,760 ] 14 TripPlanner - INFO - WeatherInfoTool initialized
[ 2026-01-14 00:44:21,761 ] 194 googlemaps.client - INFO - API queries_quota: 60
[ 2026-01-14 00:44:21,770 ] 15 TripPlanner - INFO - PlaceSearchTool initialized
[ 2026-01-14 00:44:21,777 ] 10 TripPlanner - INFO - CalculatorTool initialized
[ 2026-01-14 00:44:21,781 ] 14 TripPlanner - INFO - CurrencyConverterTool initialized
[ 2026-01-14 00:44:21,936 ] 39 TripPlanner - INFO - Graph saved as 'my_graph.png' in D:\COURSE_PROJECT\AI_Trip_Planner
[ 2026-01-14 00:44:26,370 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:44:26,372 ] 21 TripPlanner - INFO - Fetching current weather for Goa
[ 2026-01-14 00:44:26,590 ] 26 TripPlanner - INFO - Weather fetched for Goa: 298.36°C, few clouds
[ 2026-01-14 00:44:28,713 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:44:28,716 ] 23 TripPlanner - INFO - Searching attractions for Goa
[ 2026-01-14 00:44:28,718 ] 36 TripPlanner - INFO - Searching restaurants for Goa
[ 2026-01-14 00:44:28,719 ] 49 TripPlanner - INFO - Searching activities for Goa
[ 2026-01-14 00:44:28,721 ] 62 TripPlanner - INFO - Searching transportation for Goa
[ 2026-01-14 00:44:35,286 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:44:35,325 ] 33 TripPlanner - INFO - Calculating daily budget for total cost 36000.0 over 5 days
[ 2026-01-14 00:44:35,327 ] 35 TripPlanner - INFO - Daily budget: 7200.0
[ 2026-01-14 00:44:35,328 ] 52 TripPlanner - ERROR - Error occurred in python script name [D:\COURSE_PROJECT\AI_Trip_Planner\main.py] line number [42] error message [CalculatorTool._setup_tools.<locals>.calculate_total_expense() got an unexpected keyword argument 'costs']
[ 2026-01-14 00:44:35,331 ] 31 TripPlanner - INFO - Received query request: question='Plan 5 days Trip to Goa\n\n'
[ 2026-01-14 00:44:35,386 ] 14 TripPlanner - INFO - WeatherInfoTool initialized
[ 2026-01-14 00:44:35,389 ] 194 googlemaps.client - INFO - API queries_quota: 60
[ 2026-01-14 00:44:35,399 ] 15 TripPlanner - INFO - PlaceSearchTool initialized
[ 2026-01-14 00:44:35,406 ] 10 TripPlanner - INFO - CalculatorTool initialized
[ 2026-01-14 00:44:35,412 ] 14 TripPlanner - INFO - CurrencyConverterTool initialized
[ 2026-01-14 00:44:35,567 ] 39 TripPlanner - INFO - Graph saved as 'my_graph.png' in D:\COURSE_PROJECT\AI_Trip_Planner
[ 2026-01-14 00:44:38,972 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:44:38,976 ] 21 TripPlanner - INFO - Fetching current weather for Goa
[ 2026-01-14 00:44:39,473 ] 26 TripPlanner - INFO - Weather fetched for Goa: 298.36°C, few clouds
[ 2026-01-14 00:44:41,586 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:44:41,590 ] 34 TripPlanner - INFO - Fetching weather forecast for Goa
[ 2026-01-14 00:44:41,591 ] 23 TripPlanner - INFO - Searching attractions for Goa
[ 2026-01-14 00:44:41,592 ] 36 TripPlanner - INFO - Searching restaurants for Goa
[ 2026-01-14 00:44:41,593 ] 49 TripPlanner - INFO - Searching activities for Goa
[ 2026-01-14 00:44:41,595 ] 62 TripPlanner - INFO - Searching transportation for Goa
[ 2026-01-14 00:44:41,788 ] 44 TripPlanner - INFO - Forecast fetched for Goa
[ 2026-01-14 00:44:44,314 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[ 2026-01-14 00:44:44,315 ] 1068 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 32.000000 seconds
[ 2026-01-14 00:45:20,940 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:45:20,944 ] 33 TripPlanner - INFO - Calculating daily budget for total cost 19000.0 over 5 days
[ 2026-01-14 00:45:20,945 ] 17 TripPlanner - INFO - Calculating total hotel cost for 5 nights at 2000 per night
[ 2026-01-14 00:45:20,945 ] 35 TripPlanner - INFO - Daily budget: 3800.0
[ 2026-01-14 00:45:20,945 ] 19 TripPlanner - INFO - Estimated total hotel cost: 10000
[ 2026-01-14 00:45:20,945 ] 52 TripPlanner - ERROR - Error occurred in python script name [D:\COURSE_PROJECT\AI_Trip_Planner\main.py] line number [42] error message [CalculatorTool._setup_tools.<locals>.calculate_total_expense() got an unexpected keyword argument 'costs']
[ 2026-01-14 00:46:14,155 ] 31 TripPlanner - INFO - Received query request: question='Plan 5 days Trip to Goa'
[ 2026-01-14 00:46:14,282 ] 14 TripPlanner - INFO - WeatherInfoTool initialized
[ 2026-01-14 00:46:14,286 ] 194 googlemaps.client - INFO - API queries_quota: 60
[ 2026-01-14 00:46:14,295 ] 15 TripPlanner - INFO - PlaceSearchTool initialized
[ 2026-01-14 00:46:14,302 ] 10 TripPlanner - INFO - CalculatorTool initialized
[ 2026-01-14 00:46:14,306 ] 14 TripPlanner - INFO - CurrencyConverterTool initialized
[ 2026-01-14 00:46:14,520 ] 39 TripPlanner - INFO - Graph saved as 'my_graph.png' in D:\COURSE_PROJECT\AI_Trip_Planner
[ 2026-01-14 00:46:17,579 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:46:17,583 ] 21 TripPlanner - INFO - Fetching current weather for Goa
[ 2026-01-14 00:46:17,722 ] 26 TripPlanner - INFO - Weather fetched for Goa: 298.36°C, few clouds
[ 2026-01-14 00:46:21,700 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:46:21,702 ] 34 TripPlanner - INFO - Fetching weather forecast for Goa
[ 2026-01-14 00:46:22,624 ] 44 TripPlanner - INFO - Forecast fetched for Goa
[ 2026-01-14 00:46:24,789 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-01-14 00:46:24,792 ] 33 TripPlanner - INFO - Calculating daily budget for total cost 132000.0 over 5 days
[ 2026-01-14 00:46:24,792 ] 35 TripPlanner - INFO - Daily budget: 26400.0
[ 2026-01-14 00:46:27,093 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
